0,18:00,Introduction from chairmain
0,18:30,Group icebreaker activity
0,18:45,Individual interview
0,19:00,Group assessment activity
0,20:00,Conclusion
1,15:30,Examiner briefing
1,15:45,Exam start
1,17:35,Exam end
1,18:00,Examiner closing statements
2,21:30,Appointment check-in
2,21:45,Health questionnaire
2,22:00,Vaccination given
2,22:30,Waiting to check for side effects
3,11:45,Justin starts performing
3,11:46,Justin stops performing
4,12:45,Crew briefing
4,13:00,Film key scenes
4,19:00,End filming
5,14:35,Start cardio workout
6,07:30,Start teambuilding
